# Gogh terminal colour schemes (https://github.com/Gogh-Co/Gogh, data/themes.json),
# trimmed to what a choz theme needs: name|text RRGGBB|desktop RRGGBB.
# The frame colour is derived from the two; see settings.rs.
3024 Day|4A4543|F7F7F7
3024 Night|A5A2A2|090300
Aci|B4E1FD|0D1926
Acme|000000|FFFFEA
Aco|B4E1FD|1F1305
Adventure Time|F8DCC0|1F1D45
Afterglow|D0D0D0|222222
Alien Blood|637D75|0F1610
Apprentice|BCBCBC|262626
Arc Dark|9198A1|0D1117
Arc Light|333333|E8ECF2
Argonaut|FFFAF4|0E1019
Arthur|DDEEDD|1C1C1C
Astrodark|9B9FA9|1A1D23
Atelier Cave|7E7887|19171C
Atelier Dune|999580|20201D
Atelier Estuary|878573|22221B
Atelier Forest|9C9491|1B1918
Atelier Heath|9E8F9E|1B181B
Atelier Lakeside|7195A8|161B1D
Atelier Plateau|7E7777|1B1818
Atelier Savanna|78877D|171C19
Atelier Seaside|809980|131513
Atelier Sulphurpool|898EA4|202746
Atom|C5C8C6|161719
Aura|EDECEE|15141B
Ayaka|CEDAEB|36283D
Ayu Dark|B3B1AD|0A0E14
Ayu Light|575F66|FAFAFA
Ayu Mirage|CBCCC6|1F2430
Azu|D9E6F2|09111A
Base2Tone Cave|9F999B|222021
Base2Tone Desert|ADA594|292724
Base2Tone Drawbridge|9094A7|1B1F32
Base2Tone Earth|B5A9A1|322D29
Base2Tone Evening|A4A1B5|2A2734
Base2Tone Field|8EA4A0|18201E
Base2Tone Forest|A1B5A1|2A2D2A
Base2Tone Garden|969C96|1E1F1E
Base2Tone Heath|9E999F|222022
Base2Tone Lake|7BA8B7|192D34
Base2Tone Lavender|9992B0|201D2A
Base2Tone Mall|97959D|1E1E1F
Base2Tone Meadow|7B9EB7|192834
Base2Tone Morning|8D95A5|232834
Base2Tone Motel|A5979A|242323
Base2Tone Pool|9A90A7|2A2433
Base2Tone Porch|9F95A3|221E24
Base2Tone Sea|A1AAB5|1D262F
Base2Tone Space|A1A1B5|24242E
Base2Tone Suburb|878BA6|1E202F
Base4Tone Classic A|A19391|211D1C
Base4Tone Classic B|A29790|211E1C
Base4Tone Classic C|A39B8F|221F1C
Base4Tone Classic D|A2A090|21211C
Base4Tone Classic E|A0A290|21211C
Base4Tone Classic F|9BA191|1F211C
Base4Tone Classic I|949E95|1D201D
Base4Tone Classic L|8EA4A1|1B2221
Base4Tone Classic O|8995A9|1A1D23
Base4Tone Classic P|9092A2|1C1D21
Base4Tone Classic Q|95949E|1D1D20
Base4Tone Classic R|98949E|1E1D20
Base4Tone Classic S|9A949E|1F1D20
Base4Tone Classic T|9D949E|201D20
Base4Tone Classic U|9E949D|201D20
Base4Tone Classic W|9E9498|201D1E
Base4Tone Modern C|A39B8F|221F1C
Base4Tone Modern N|8A9DA8|1A2023
Base4Tone Modern W|9E9498|201D1E
Belafonte Day|45373C|D5CCBA
Belafonte Night|968C83|20111B
Bim|A9BED8|012849
Birds Of Paradise|E0DBB7|2A1F1D
Blazer|D9E6F2|0D1926
Blue Dolphin|C5F2FF|006984
Blue Moon|676E96|1B1E2B
Blue Moon Light|FBFBFB|32374D
Bluloco Light|383A42|F9F9F9
Bluloco Zsh Light|383A42|F9F9F9
Borland|FFFF4E|0000A4
Breadog|362C24|F1EBE6
Breath|17A88B|1E2229
Breath Darker|17A88B|080D14
Breath Light|292F34|E8E8E8
Breath Silverfox|BBBBBB|1E2229
Breeze|FCFCFC|232627
Broadcast|E6E1DC|2B2B2B
Brogrammer|D6DBE5|131313
Butrin|F2F2F2|4B3B3C
C64|7869C4|40318D
Cai|D9E6F2|09111A
Campbell|CCCCCC|0C0C0C
Catppuccin Frappé|C6D0F5|303446
Catppuccin Latte|4C4F69|EFF1F5
Catppuccin Macchiato|CAD3F5|24273A
Catppuccin Mocha|CDD6F4|1E1E2E
Chalk|D4D4D4|2D2D2D
Chalkboard|D9E6F2|29262F
Chameleon|DEDEDE|2C2C2C
Ciapre|AEA47A|191C27
City Lights|FFFFFF|171D23
Clone Of Ubuntu|FFFFFF|300A24
Clrs|262626|FFFFFF
Cobalt 2|FFFFFF|132738
